"","dis_0","dis_1","dis_2","bl","blr","rhw","rml","rew","bll"
"1",0.615384615384615,0,0.384615384615385,14.0923076923077,1.37598807651016,0.149005483082806,0.107910274878123,0.0481781026242923,0.536615384615385
"2",0.666666666666667,0,0.333333333333333,15.6444444444444,1.54056351387909,0.144543419041126,0.104565013503292,0.045908359855779,0.523333333333333
"3",0.833333333333333,0,0.166666666666667,15.8388888888889,1.49811094374841,0.148600881470545,0.107747675090371,0.0498841334710732,0.541277777777778
"4",0.833333333333333,0,0.166666666666667,14.2166666666667,1.47894327360214,0.154548854690655,0.106419211857243,0.0536316321667699,0.5535
"5",0.916666666666667,0,0.0833333333333333,16.325,1.62693921617701,0.159026387841717,0.118311224697904,0.0494958791757027,0.552090909090909
"6",0.846153846153846,0,0.153846153846154,15.8538461538462,1.5562896962793,0.162311828183391,0.115135764032934,0.0512754030028698,0.528769230769231
"7",0.642857142857143,0,0.357142857142857,14.6285714285714,1.56163885362153,0.157970583953865,0.110103498663919,0.0512762796628893,0.527714285714286
"8",0.769230769230769,0,0.230769230769231,15.2538461538462,1.6191894797039,0.148596343238206,0.108416949399964,0.0478876210912574,0.520846153846154
"9",0.916666666666667,0,0.0833333333333333,16.4,1.49306171866369,0.152108721462085,0.114282937439693,0.0455079529711424,0.538
"10",0.909090909090909,0,0.0909090909090909,17.3454545454545,1.57955848559378,0.156022587823668,0.120298873668395,0.0441515377212092,0.536272727272727
"11",0.714285714285714,0,0.285714285714286,15.2714285714286,1.36353292034187,0.167927039642665,0.123798210015477,0.0471358926564127,0.520714285714286
"12",0.714285714285714,0,0.285714285714286,15.2857142857143,1.45861252806454,0.165428547768136,0.12013823203431,0.0497304160958874,0.524142857142857
"13",0.857142857142857,0,0.142857142857143,16.9142857142857,1.50428772082203,0.157987805079878,0.119774099706967,0.0479646316902129,0.574714285714286
"14",0.692307692307692,0,0.307692307692308,15.1076923076923,1.42454092115918,0.143994139381251,0.10642336723696,0.0470117403053903,0.540615384615385
"15",0.7,0,0.3,14.94,1.54178121936673,0.159501617804023,0.117021580560901,0.0461987109992867,0.5263
"16",0.666666666666667,0,0.333333333333333,14.9777777777778,1.49091562747822,0.154474965237714,0.115411514054128,0.0485702601169347,0.571666666666667
"17",0.444444444444444,0.111111111111111,0.333333333333333,11.4555555555556,1.31380697044819,0.133006937982518,0.0956275718187054,0.0560254879803014,0.546111111111111
"18",1,0,0,15.32,1.69180431171217,0.140079319010912,0.104164391260837,0.0426544119740587,0.521
"19",0.875,0,0.125,15.85,1.62930244827691,0.151727258919064,0.113404845446699,0.0464987096766189,0.52875
"20",0.733333333333333,0,0.266666666666667,14.7066666666667,1.44087668227613,0.138670416812716,0.10138971170645,0.0483000717922417,0.527066666666667
"21",0.666666666666667,0.111111111111111,0.222222222222222,16.2111111111111,1.42242527556461,0.147382137601164,0.104256872354089,0.0424971635452119,0.504333333333333
"22",0.666666666666667,0,0.333333333333333,14.45,1.43848455468538,0.147445575153638,0.113375980582,0.0494527618393987,0.555916666666667
"23",0.714285714285714,0,0.285714285714286,14.5285714285714,1.44053242044654,0.136515028320597,0.097489221723449,0.0448140277047056,0.518
"24",0.7,0,0.3,14.52,1.44500052208315,0.146825579061426,0.108072663617797,0.0493187739485746,0.5413
